ExportDate	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	Unnamed: 487	screen	idea	attribute
21-02-2018	5	10:38:48.825	1511862040791901		1	11	476	68	424	39	450			2,86	162,10	18,23	176,23	10,54	169,16	213,02	203,76	621,37	279,99	205,46	620,24					655,06	655,06	3,57	3,50	0	0					nothing	nothing	nothing
21-02-2018	9	10:38:48.828	1511862040795123		2	33	476	80	428	56	452			8,74	162,21	21,28	175,15	15,01	168,68	213,00	203,75	621,36	279,99	205,44	620,20					655,05	655,05	3,58	3,51	0	0					nothing	nothing	nothing
21-02-2018	12	10:38:48.831	1511862040798562		3	17	478	91	441	54	459			4,62	161,64	24,46	171,57	14,54	166,60	212,98	203,74	621,34	279,99	205,44	620,20					655,03	655,03	3,62	3,56	0	0					nothing	nothing	nothing
21-02-2018	15	10:38:48.835	1511862040801787		4	17	472	66	437	41	454			4,62	163,12	17,56	172,50	11,09	167,81	212,97	203,74	621,35	279,99	205,44	620,17					655,04	655,04	3,58	3,54	0	0					nothing	nothing	nothing
21-02-2018	19	10:38:48.838	1511862040805234		5	13	459	66	423	39	441			3,38	166,62	17,74	176,48	10,56	171,55	212,95	203,73	621,33	279,98	205,43	620,16					655,02	655,02	3,56	3,51	0	0					nothing	nothing	nothing
21-02-2018	22	10:38:48.841	1511862040808456		6	8	459	65	423	36	441			2,02	166,78	17,33	176,33	9,67	171,56	212,94	203,72	621,31	279,97	205,43	620,15					654,99	654,99	3,57	3,53	0	0					nothing	nothing	nothing
21-02-2018	25	10:38:48.845	1511862040811902		7	15	468	60	445	37	456			4,13	164,33	15,97	170,44	10,05	167,38	212,92	203,72	621,30	279,96	205,43	620,14					654,98	654,98	3,58	3,55	0	0					nothing	nothing	nothing
21-02-2018	29	10:38:48.848	1511862040815116		8	13	462	73	437	43	449			3,46	165,91	19,61	172,49	11,54	169,20	212,91	203,70	621,27	279,95	205,44	620,17					654,95	654,95	3,60	3,57	0	0					nothing	nothing	nothing
21-02-2018	32	10:38:48.851	1511862040818565		9	12	466	68	426	40	446			3,13	164,88	18,31	175,63	10,72	170,25	212,89	203,70	621,27	279,94	205,44	620,16					654,95	654,95	3,58	3,52	0	0					nothing	nothing	nothing
21-02-2018	35	10:38:48.855	1511862040821795		10	11	452	72	412	41	432			3,05	168,58	19,32	179,31	11,18	173,94	212,86	203,70	621,28	279,93	205,44	620,16					654,96	654,96	3,57	3,47	0	0					nothing	nothing	nothing
21-02-2018	39	10:38:48.858	1511862040825237		11	14	473	62	426	38	449			3,76	163,07	16,63	175,47	10,19	169,27	212,84	203,69	621,28	279,91	205,43	620,14					654,96	654,96	3,58	3,51	0	0					nothing	nothing	nothing
21-02-2018	42	10:38:48.861	1511862040828452		12	16	467	65	432	40	449			4,29	164,59	17,37	173,99	10,83	169,29	212,81	203,69	621,28	279,89	205,40	620,07					654,96	654,96	3,58	3,56	0	0					nothing	nothing	nothing
21-02-2018	45	10:38:48.865	1511862040831899		13	11	468	67	417	39	442			2,88	164,24	18,05	178,12	10,46	171,18	212,79	203,70	621,31	279,87	205,38	620,03					654,99	654,99	3,58	3,49	0	0					nothing	nothing	nothing
21-02-2018	49	10:38:48.868	1511862040835126		14	9	465	70	427	39	446			2,33	165,09	18,85	175,29	10,59	170,19	212,77	203,68	621,29	279,86	205,37	620,00					654,97	654,97	3,59	3,52	0	0					nothing	nothing	nothing
21-02-2018	52	10:38:48.871	1511862040838561		15	13	465	78	426	45	445			3,35	165,01	20,79	175,59	12,07	170,30	212,74	203,68	621,32	279,84	205,36	619,98					655,00	655,00	3,58	3,50	0	0					nothing	nothing	nothing
21-02-2018	55	10:38:48.875	1511862040841785		16	17	467	68	423	42	445			4,53	164,49	18,14	176,34	11,33	170,42	212,72	203,68	621,33	279,82	205,35	619,96					655,01	655,01	3,59	3,50	0	0					nothing	nothing	nothing
21-02-2018	59	10:38:48.878	1511862040845225		17	17	474	74	411	45	442			4,65	162,81	19,76	179,56	12,20	171,18	212,69	203,67	621,32	279,80	205,36	619,97					655,00	655,00	3,57	3,47	0	0					nothing	nothing	nothing
21-02-2018	62	10:38:48.881	1511862040848450		18	17	470	64	451	40	460			4,47	163,82	17,12	168,87	10,80	166,35	212,66	203,68	621,35	279,77	205,36	619,99					655,03	655,03	3,58	3,52	0	0					nothing	nothing	nothing
21-02-2018	65	10:38:48.885	1511862040851888		19	16	476	67	418	41	447			4,24	162,05	17,91	177,67	11,08	169,86	212,63	203,66	621,32	279,75	205,36	619,97					655,00	655,00	3,59	3,46	0	0					nothing	nothing	nothing
21-02-2018	69	10:38:48.888	1511862040855118		20	8	465	64	418	36	441			2,06	165,08	17,07	177,72	9,57	171,40	212,60	203,65	621,33	279,72	205,35	619,97					655,01	655,01	3,60	3,48	0	0					nothing	nothing	nothing
21-02-2018	72	10:38:48.891	1511862040858557		21	14	483	71	403	42	443			3,61	160,34	19,04	181,71	11,33	171,03	212,57	203,66	621,37	279,69	205,32	619,88					655,05	655,05	3,60	3,44	0	0					nothing	nothing	nothing
21-02-2018	75	10:38:48.895	1511862040861783		22	6	472	68	409	37	440			1,58	163,24	18,15	180,08	9,87	171,66	212,54	203,67	621,40	279,66	205,30	619,83					655,08	655,08	3,60	3,46	0	0					nothing	nothing	nothing
21-02-2018	79	10:38:48.898	1511862040865223		23	-1	461	72	418	35	439			-0,17	166,31	19,35	177,84	9,59	172,07	212,50	203,65	621,39	279,63	205,31	619,85					655,07	655,07	3,57	3,50	0	0					nothing	nothing	nothing
21-02-2018	82	10:38:48.901	1511862040868449		24	12	475	67	443	39	459			3,14	162,30	17,86	170,96	10,50	166,63	212,46	203,65	621,41	279,60	205,32	619,88					655,09	655,09	3,60	3,53	0	0					nothing	nothing	nothing
21-02-2018	85	10:38:48.905	1511862040871888		25	12	479	68	410	40	444			3,19	161,45	18,23	179,82	10,71	170,63	212,43	203,64	621,39	279,56	205,32	619,87					655,07	655,07	3,59	3,48	0	0					nothing	nothing	nothing
21-02-2018	89	10:38:48.908	1511862040875113		26	11	483	70	425	40	454			2,97	160,36	18,73	175,72	10,85	168,04	212,40	203,64	621,41	279,53	205,30	619,83					655,09	655,09	3,61	3,50	0	0					nothing	nothing	nothing
21-02-2018	92	10:38:48.911	1511862040878552		27	4	472	70	421	37	446			1,05	163,36	18,82	176,94	9,94	170,15	212,36	203,62	621,39	279,49	205,28	619,76					655,07	655,07	3,59	3,48	0	0					nothing	nothing	nothing
21-02-2018	95	10:38:48.915	1511862040881780		28	13	485	67	433	40	459			3,45	159,81	17,97	173,65	10,71	166,73	212,31	203,65	621,49	279,45	205,29	619,77					655,18	655,18	3,58	3,49	0	0					nothing	nothing	nothing
21-02-2018	99	10:38:48.918	1511862040885219		29	1	467	72	436	36	451			0,26	164,49	19,19	172,80	9,73	168,65	212,27	203,64	621,49	279,42	205,29	619,77					655,18	655,18	3,58	3,50	0	0					nothing	nothing	nothing
21-02-2018	102	10:38:48.921	1511862040888446		30	9	476	56	425	32	450			2,40	162,16	15,07	175,92	8,74	169,04	212,24	203,62	621,46	279,38	205,29	619,75					655,14	655,14	3,56	3,48	0	0					nothing	nothing	nothing
21-02-2018	105	10:38:48.925	1511862040891884		31	17	484	56	438	36	461			4,51	159,89	14,94	172,38	9,73	166,13	212,19	203,62	621,46	279,34	205,29	619,74					655,15	655,15	3,60	3,51	0	0					nothing	nothing	nothing
21-02-2018	109	10:38:48.928	1511862040895113		32	12	489	61	437	36	463			3,08	158,75	16,30	172,53	9,69	165,64	212,14	203,65	621,55	279,30	205,29	619,71					655,24	655,24	3,57	3,52	0	0					nothing	nothing	nothing
21-02-2018	112	10:38:48.931	1511862040898548		33	13	477	60	446	36	461			3,43	161,80	16,12	170,18	9,77	165,99	212,10	203,62	621,52	279,25	205,29	619,70					655,20	655,20	3,57	3,50	0	0					nothing	nothing	nothing
21-02-2018	115	10:38:48.935	1511862040901780		34	15	470	66	432	40	451			4,09	163,67	17,71	174,02	10,90	168,85	212,06	203,61	621,51	279,21	205,29	619,69					655,19	655,19	3,58	3,48	0	0					nothing	nothing	nothing
21-02-2018	119	10:38:48.938	1511862040905220		35	13	477	61	417	37	447			3,56	161,86	16,40	177,86	9,98	169,86	212,01	203,62	621,56	279,16	205,28	619,64					655,25	655,25	3,57	3,48	0	0					nothing	nothing	nothing
21-02-2018	122	10:38:48.941	1511862040908447		36	17	479	64	420	40	449			4,67	161,48	17,07	177,15	10,87	169,31	211,95	203,64	621,62	279,11	205,27	619,61					655,32	655,32	3,57	3,47	0	0					nothing	nothing	nothing
21-02-2018	125	10:38:48.945	1511862040911881		37	11	480	66	421	38	450			2,99	161,11	17,56	176,90	10,27	169,00	211,91	203,63	621,61	279,06	205,27	619,58					655,30	655,30	3,58	3,45	0	0					nothing	nothing	nothing
21-02-2018	129	10:38:48.948	1511862040915116		38	14	489	69	429	41	459			3,85	158,56	18,51	174,65	11,18	166,60	211,85	203,63	621,66	279,01	205,28	619,56					655,36	655,36	3,56	3,48	0	0					nothing	nothing	nothing
21-02-2018	132	10:38:48.951	1511862040918546		39	9	477	57	436	33	456			2,38	161,76	15,32	172,91	8,85	167,33	211,79	203,65	621,71	278,96	205,28	619,55					655,41	655,41	3,56	3,49	0	0					nothing	nothing	nothing
21-02-2018	135	10:38:48.955	1511862040921781		40	9	479	60	418	34	448			2,42	161,40	16,18	177,71	9,30	169,55	211,74	203,63	621,69	278,90	205,28	619,52					655,39	655,39	3,55	3,46	0	0					nothing	nothing	nothing
21-02-2018	139	10:38:48.958	1511862040925220		41	12	484	67	426	39	455			3,19	160,06	17,96	175,59	10,58	167,83	211,68	203,64	621,75	278,84	205,29	619,51					655,45	655,45	3,57	3,47	0	0					nothing	nothing	nothing
21-02-2018	142	10:38:48.961	1511862040928438		42	2	476	66	422	34	449			0,66	162,23	17,75	176,64	9,20	169,44	211,62	203,66	621,84	278,79	205,29	619,51					655,55	655,55	3,54	3,48	0	0					nothing	nothing	nothing
21-02-2018	145	10:38:48.965	1511862040931871		43	13	471	51	420	32	445			3,35	163,62	13,59	177,25	8,47	170,44	211,57	203,64	621,81	278,73	205,27	619,43					655,52	655,52	3,55	3,46	0	0					nothing	nothing	nothing
21-02-2018	149	10:38:48.968	1511862040935111		44	4	470	61	430	32	450			0,96	163,70	16,42	174,54	8,69	169,12	211,50	203,65	621,87	278,66	205,28	619,42					655,59	655,59	3,56	3,47	0	0					nothing	nothing	nothing
21-02-2018	152	10:38:48.971	1511862040938553		45	2	475	62	417	32	446			0,63	162,53	16,54	177,97	8,58	170,25	211,43	203,67	621,97	278,60	205,29	619,42					655,69	655,69	3,56	3,46	0	0					nothing	nothing	nothing
21-02-2018	155	10:38:48.975	1511862040941770		46	9	478	62	435	35	456			2,34	161,65	16,69	173,22	9,52	167,44	211,37	203,64	621,91	278,53	205,28	619,37					655,62	655,62	3,56	3,48	0	0					nothing	nothing	nothing
21-02-2018	159	10:38:48.978	1511862040945214		47	12	476	67	417	39	446			3,25	162,21	17,88	177,95	10,56	170,08	211,30	203,67	622,02	278,46	205,29	619,38					655,74	655,74	3,57	3,46	0	0					nothing	nothing	nothing
21-02-2018	162	10:38:48.981	1511862040948432		48	20	478	60	446	40	462			5,47	161,62	16,01	170,18	10,74	165,90	211,23	203,65	622,00	278,39	205,29	619,35					655,72	655,72	3,57	3,49	0	0					nothing	nothing	nothing
21-02-2018	165	10:38:48.985	1511862040951877		49	6	479	62	423	34	451			1,57	161,35	16,65	176,31	9,11	168,83	211,16	203,64	622,04	278,31	205,29	619,33					655,76	655,76	3,56	3,45	0	0					nothing	nothing	nothing
21-02-2018	169	10:38:48.988	1511862040955096		50	15	478	57	427	36	452			4,13	161,56	15,27	175,34	9,70	168,45	211,07	203,67	622,12	278,24	205,29	619,31					655,85	655,85	3,57	3,49	0	0					nothing	nothing	nothing
21-02-2018	172	10:38:48.991	1511862040958535		51	9	477	67	442	38	459			2,33	161,81	17,90	171,34	10,11	166,58	211,00	203,65	622,13	278,15	205,29	619,26					655,86	655,86	3,57	3,51	0	0					nothing	nothing	nothing
21-02-2018	175	10:38:48.995	1511862040961776		52	13	473	73	432	43	452			3,39	162,87	19,56	173,88	11,47	168,38	210,91	203,69	622,25	278,07	205,29	619,25					655,99	655,99	3,59	3,48	0	0					nothing	nothing	nothing
21-02-2018	179	10:38:48.998	1511862040965210		53	4	473	59	433	31	453			1,04	163,09	15,91	173,67	8,47	168,38	210,83	203,66	622,23	277,98	205,30	619,23					655,97	655,97	3,53	3,51	0	0					nothing	nothing	nothing
21-02-2018	182	10:38:49.001	1511862040968428		54	12	487	63	420	37	453			3,19	159,21	16,91	177,19	10,05	168,20	210,73	203,71	622,38	277,89	205,29	619,18					656,13	656,13	3,56	3,45	0	0					nothing	nothing	nothing
21-02-2018	185	10:38:49.005	1511862040971867		55	16	479	56	404	36	441			4,36	161,36	14,99	181,43	9,67	171,40	210,65	203,68	622,36	277,80	205,29	619,14					656,11	656,11	3,58	3,43	0	0					nothing	nothing	nothing
21-02-2018	189	10:38:49.008	1511862040975094		56	15	473	64	415	39	444			3,99	162,84	17,00	178,49	10,50	170,66	210,55	203,72	622,51	277,70	205,28	619,07					656,27	656,27	3,58	3,46	0	0					nothing	nothing	nothing
21-02-2018	192	10:38:49.011	1511862040978540		57	11	477	63	415	37	446			3,00	161,80	16,79	178,44	9,90	170,12	210,45	203,70	622,49	277,60	205,31	619,11					656,25	656,25	3,57	3,45	0	0					nothing	nothing	nothing
21-02-2018	195	10:38:49.015	1511862040981770		58	18	470	60	418	39	444			4,73	163,71	15,93	177,64	10,33	170,67	210,36	203,71	622,56	277,50	205,28	618,99					656,33	656,33	3,58	3,45	0	0					nothing	nothing	nothing
21-02-2018	199	10:38:49.018	1511862040985201		59	16	475	57	421	36	448			4,31	162,45	15,26	176,84	9,78	169,64	210,25	203,72	622,63	277,40	205,32	619,05					656,41	656,41	3,54	3,47	0	0					nothing	nothing	nothing
21-02-2018	202	10:38:49.021	1511862040988423		60	9	484	66	418	37	451			2,33	159,93	17,64	177,76	9,99	168,85	210,16	203,71	622,66	277,29	205,31	618,99					656,43	656,43	3,58	3,45	0	0					nothing	nothing	nothing
21-02-2018	205	10:38:49.025	1511862040991874		61	10	473	64	425	37	449			2,76	162,83	17,07	175,87	9,92	169,35	210,05	203,75	622,79	277,19	205,30	618,92					656,58	656,58	3,57	3,49	0	0					nothing	nothing	nothing
21-02-2018	209	10:38:49.028	1511862040995092		62	12	472	64	433	38	452			3,21	163,16	17,11	173,79	10,16	168,47	209,95	203,72	622,77	277,08	205,34	618,98					656,55	656,55	3,53	3,49	0	0					nothing	nothing	nothing
21-02-2018	212	10:38:49.031	1511862040998539		63	13	475	66	439	39	457			3,36	162,54	17,69	172,01	10,53	167,27	209,84	203,76	622,89	276,97	205,29	618,82					656,69	656,69	3,56	3,48	0	0					nothing	nothing	nothing
21-02-2018	215	10:38:49.035	1511862041001760		64	15	471	60	415	37	443			4,08	163,61	16,17	178,42	10,13	171,02	209,74	203,75	622,92	276,86	205,33	618,88					656,72	656,72	3,53	3,44	0	0					nothing	nothing	nothing
21-02-2018	219	10:38:49.038	1511862041005205		65	13	484	64	426	38	455			3,57	159,89	17,07	175,54	10,32	167,71	209,63	203,79	623,04	276,75	205,33	618,85					656,86	656,86	3,55	3,50	0	0					nothing	nothing	nothing
21-02-2018	222	10:38:49.041	1511862041008425		66	1	490	67	422	34	456			0,36	158,41	17,96	176,74	9,16	167,58	209,52	203,78	623,07	276,63	205,30	618,73					656,89	656,89	3,56	3,45	0	0					nothing	nothing	nothing
21-02-2018	225	10:38:49.045	1511862041011872		67	14	478	61	419	37	448			3,74	161,61	16,32	177,46	10,03	169,53	209,41	203,81	623,17	276,52	205,31	618,74					657,00	657,00	3,55	3,44	0	0					nothing	nothing	nothing
21-02-2018	229	10:38:49.048	1511862041015091		68	19	472	61	428	40	450			4,98	163,23	16,45	174,91	10,72	169,07	209,30	203,81	623,21	276,40	205,32	618,75					657,04	657,04	3,56	3,50	0	0					nothing	nothing	nothing
21-02-2018	232	10:38:49.051	1511862041018530		69	1	472	64	409	32	440			0,13	163,11	17,12	180,04	8,63	171,58	209,19	203,83	623,32	276,29	205,30	618,65					657,16	657,16	3,55	3,46	0	0					nothing	nothing	nothing
21-02-2018	235	10:38:49.055	1511862041021757		70	2	477	70	418	36	447			0,43	161,76	18,61	177,76	9,52	169,76	209,08	203,83	623,36	276,17	205,29	618,63					657,20	657,20	3,55	3,44	0	0					nothing	nothing	nothing
21-02-2018	239	10:38:49.058	1511862041025196		71	9	475	63	420	36	447			2,50	162,49	16,83	177,25	9,67	169,87	208,97	203,84	623,44	276,06	205,31	618,64					657,29	657,29	3,57	3,43	0	0					nothing	nothing	nothing
21-02-2018	242	10:38:49.061	1511862041028424		72	7	463	58	425	32	444			1,99	165,60	15,45	175,73	8,72	170,67	208,87	203,86	623,53	275,95	205,27	618,54					657,40	657,40	3,54	3,46	0	0					nothing	nothing	nothing
21-02-2018	245	10:38:49.065	1511862041031874		73	11	480	58	420	34	450			3,07	161,21	15,58	177,31	9,33	169,26	208,77	203,84	623,53	275,84	205,28	618,54					657,39	657,39	3,55	3,45	0	0					nothing	nothing	nothing
21-02-2018	248	10:38:49.068	1511862041035088		74	6	482	61	417	33	449			1,73	160,41	16,22	177,87	8,97	169,14	208,66	203,89	623,70	275,74	205,27	618,51					657,57	657,57	3,56	3,44	0	0					nothing	nothing	nothing
21-02-2018	252	10:38:49.071	1511862041038535		75	3	455	56	435	29	445			0,79	167,73	15,00	173,28	7,90	170,50	208,57	203,86	623,67	275,63	205,26	618,47					657,54	657,54	3,54	3,45	0	0					nothing	nothing	nothing
21-02-2018	255	10:38:49.075	1511862041041757		76	9	478	62	434	35	456			2,44	161,50	16,59	173,44	9,52	167,47	208,47	203,90	623,80	275,53	205,28	618,49					657,69	657,69	3,55	3,46	0	0					nothing	nothing	nothing
21-02-2018	259	10:38:49.078	1511862041045204		77	4	473	59	431	31	452			1,13	162,85	15,68	174,29	8,40	168,57	208,39	203,89	623,81	275,44	205,24	618,38					657,69	657,69	3,54	3,42	0	0					nothing	nothing	nothing
21-02-2018	262	10:38:49.081	1511862041048423		78	13	476	61	430	37	453			3,52	162,06	16,33	174,56	9,92	168,31	208,29	203,92	623,95	275,34	205,27	618,43					657,85	657,85	3,55	3,43	0	0					nothing	nothing	nothing
21-02-2018	265	10:38:49.085	1511862041051861		79	4	474	59	435	31	454			1,04	162,57	15,71	173,06	8,37	167,82	208,21	203,90	623,93	275,25	205,24	618,35					657,82	657,82	3,54	3,43	0	0					nothing	nothing	nothing
21-02-2018	268	10:38:49.088	1511862041055088		80	6	465	55	427	30	446			1,50	165,05	14,75	175,23	8,13	170,14	208,13	203,92	624,04	275,16	205,26	618,38					657,94	657,94	3,49	3,42	0	0					nothing	nothing	nothing
21-02-2018	272	10:38:49.091	1511862041058532		81	5	468	65	423	35	445			1,25	164,34	17,46	176,32	9,35	170,33	208,05	203,91	624,02	275,08	205,23	618,28					657,93	657,93	3,54	3,45	0	0					nothing	nothing	nothing
21-02-2018	275	10:38:49.095	1511862041061755		82	0	481	64	421	32	451			-0,07	160,76	17,05	176,99	8,49	168,87	207,97	203,94	624,16	275,00	205,26	618,33					658,07	658,07	3,55	3,44	0	0					nothing	nothing	nothing
21-02-2018	279	10:38:49.098	1511862041065193		83	7	487	58	423	32	455			1,88	159,19	15,53	176,40	8,71	167,79	207,91	203,91	624,11	274,92	205,23	618,25					658,01	658,01	3,52	3,46	0	0					nothing	nothing	nothing
21-02-2018	282	10:38:49.101	1511862041068419		84	8	476	55	412	31	444			2,15	162,06	14,84	179,28	8,49	170,67	207,84	203,93	624,21	274,85	205,24	618,25					658,12	658,12	3,54	3,44	0	0					nothing	nothing	nothing
21-02-2018	285	10:38:49.105	1511862041071857		85	0	472	62	438	31	455			-0,09	163,23	16,57	172,40	8,24	167,81	207,77	203,95	624,28	274,78	205,26	618,27					658,21	658,21	3,54	3,48	0	0					nothing	nothing	nothing
21-02-2018	288	10:38:49.108	1511862041075085		86	12	491	57	430	34	460			3,14	158,16	15,17	174,58	9,15	166,37	207,72	203,94	624,26	274,72	205,24	618,20					658,18	658,18	3,53	3,47	0	0					nothing	nothing	nothing
21-02-2018	292	10:38:49.111	1511862041078521		87	15	474	55	433	35	453			4,00	162,78	14,67	173,64	9,33	168,21	207,66	203,95	624,31	274,66	205,26	618,24					658,24	658,24	3,50	3,47	0	0					nothing	nothing	nothing
21-02-2018	295	10:38:49.115	1511862041081757		88	10	475	59	440	34	457			2,75	162,44	15,77	171,83	9,26	167,13	207,60	203,98	624,43	274,60	205,27	618,22					658,36	658,36	3,55	3,47	0	0					nothing	nothing	nothing
21-02-2018	299	10:38:49.118	1511862041085195		89	12	473	57	426	34	449			3,32	163,09	15,27	175,45	9,30	169,27	207,55	203,98	624,44	274,55	205,26	618,19					658,38	658,38	3,51	3,46	0	0					nothing	nothing	nothing
21-02-2018	302	10:38:49.121	1511862041088427		90	7	481	67	432	37	456			2,00	160,77	17,89	173,95	9,94	167,36	207,52	203,96	624,45	274,51	205,24	618,16					658,38	658,38	3,55	3,48	0	0					nothing	nothing	nothing
21-02-2018	305	10:38:49.125	1511862041091857		91	24	478	79	446	51	462			6,42	161,62	21,27	170,33	13,85	165,97	207,51	203,95	624,47	274,49	205,22	618,12					658,40	658,40	3,53	3,45	0	0					nothing	nothing	nothing
21-02-2018	309	10:38:49.128	1511862041095091		92	55	508	103	442	79	475			14,79	153,62	27,68	171,34	21,23	162,48	207,52	203,96	624,54	274,50	205,20	618,10					658,47	658,47	3,51	3,44	0	0					nothing	nothing	nothing
21-02-2018	312	10:38:49.131	1511862041098522		93	121	542	152	483	136	512			32,46	144,56	40,75	160,40	36,61	152,48	207,56	203,97	624,59	274,52	205,16	618,04					658,51	658,51	3,53	3,46	0	0					nothing	nothing	nothing
21-02-2018	315	10:38:49.135	1511862041101766		94	185	559	212	507	198	533			49,44	140,00	56,79	153,84	53,11	146,92	207,64	203,87	624,37	274,56	205,14	618,04					658,27	658,27	3,56	3,47	0	0					nothing	nothing	nothing
21-02-2018	319	10:38:49.138	1511862041105187		95	237	574	266	528	251	551			63,35	135,85	71,14	148,16	67,24	142,01	207,69	203,88	624,44	274,61	205,14	618,06					658,33	658,33	3,55	3,46	0	0					nothing	nothing	nothing
21-02-2018	322	10:38:49.141	1511862041108419		96	260	582	304	530	282	556			69,68	133,73	81,46	147,74	75,57	140,74	207,77	203,86	624,40	274,65	205,16	618,15					658,28	658,28	3,56	3,44	0	0					nothing	nothing	nothing
21-02-2018	325	10:38:49.145	1511862041111852		97	294	582	322	554	308	568			78,67	133,59	86,08	141,26	82,37	137,42	207,84	203,85	624,40	274,71	205,22	618,30					658,27	658,27	3,57	3,46	0	0					nothing	nothing	nothing
21-02-2018	328	10:38:49.148	1511862041115086		98	320	575	357	549	338	562			85,58	135,56	95,53	142,61	90,55	139,08	207,89	203,85	624,40	274,75	205,22	618,35					658,27	658,27	3,54	3,44	0	0					nothing	nothing	nothing
21-02-2018	332	10:38:49.151	1511862041118520		99	339	593	353	566	346	579			90,69	130,81	94,34	138,06	92,52	134,44	207,94	203,82	624,37	274,79	205,21	618,39					658,23	658,23	3,53	3,45	0	0					nothing	nothing	nothing
21-02-2018	335	10:38:49.155	1511862041121745		100	353	600	379	551	366	575			94,57	128,93	101,38	142,04	97,98	135,49	207,97	203,81	624,38	274,80	205,20	618,43					658,23	658,23	3,54	3,39	0	0					nothing	nothing	nothing
